Oid,SheetName,ClassName,Name,Value,Units
307,Air Cooled HX,AirCooledExchanger,AirFlowPerFan,,m^3/s
307,Air Cooled HX,AirCooledExchanger,AirMassFlow,389.6225338,kg/s
307,Air Cooled HX,AirCooledExchanger,AirSideFaceVelocity,675.5697622,cm/s
307,Air Cooled HX,AirCooledExchanger,AirSideFoulingResistance,0.00035222,m^2.K/W
307,Air Cooled HX,AirCooledExchanger,AirSidePressureDropCalculated,0.009574,psi
307,Air Cooled HX,AirCooledExchanger,AirTemperatureIn,294.2611092,K
307,Air Cooled HX,AirCooledExchanger,AirTemperatureOut,302.5944432,K
307,Air Cooled HX,AirCooledExchanger,AirVolFlow,,m^3/s
307,Air Cooled HX,AirCooledExchanger,Altitude,,m
307,Air Cooled HX,AirCooledExchanger,BareTubeArea,,m^2
307,Air Cooled HX,AirCooledExchanger,BundleWidth,2.518833367,m
307,Air Cooled HX,AirCooledExchanger,Description,,
307,Air Cooled HX,AirCooledExchanger,DriverCycle,,
307,Air Cooled HX,AirCooledExchanger,DriverEnclosure,,
307,Air Cooled HX,AirCooledExchanger,DriverPhase,,
307,Air Cooled HX,AirCooledExchanger,DriverSpeedRpm,,rpm
307,Air Cooled HX,AirCooledExchanger,DriverType,,
307,Air Cooled HX,AirCooledExchanger,DriverVolt,,V
307,Air Cooled HX,AirCooledExchanger,ElectricityCost,,USD/h
307,Air Cooled HX,AirCooledExchanger,ElectricityUsage,,W
307,Air Cooled HX,AirCooledExchanger,FanDiameter,2.105092056,m
307,Air Cooled HX,AirCooledExchanger,FanEfficiency,100,%
307,Air Cooled HX,AirCooledExchanger,FanModel,,
307,Air Cooled HX,AirCooledExchanger,FanPower,,W
307,Air Cooled HX,AirCooledExchanger,FinMaterial,,
307,Air Cooled HX,AirCooledExchanger,FinOD,,m
307,Air Cooled HX,AirCooledExchanger,FinThickness,,m
307,Air Cooled HX,AirCooledExchanger,FinType,,
307,Air Cooled HX,AirCooledExchanger,FoulingResistance,0.00070444,m^2.K/W
307,Air Cooled HX,AirCooledExchanger,HeaderCorrosionAllowence,,m
307,Air Cooled HX,AirCooledExchanger,HeaderGasketMaterial,,
307,Air Cooled HX,AirCooledExchanger,Headermaterial,,
307,Air Cooled HX,AirCooledExchanger,HeaderNumberOfPasses,6,
307,Air Cooled HX,AirCooledExchanger,HeaderPlugMaterial,,
307,Air Cooled HX,AirCooledExchanger,HeaderType,,
307,Air Cooled HX,AirCooledExchanger,HeatTransfer,3256891.474,W
307,Air Cooled HX,AirCooledExchanger,LMTDCorrectionFactor,0.995813,unitless
307,Air Cooled HX,AirCooledExchanger,MTD,30.57085391,K
307,Air Cooled HX,AirCooledExchanger,MTDEffective,30.44285336,K
307,Air Cooled HX,AirCooledExchanger,NoOfBlades,,
307,Air Cooled HX,AirCooledExchanger,NoOfDriversPerBay,,
307,Air Cooled HX,AirCooledExchanger,NoOfFansPerBay,3,
307,Air Cooled HX,AirCooledExchanger,NoOfSpeedReducerPerBay,,
307,Air Cooled HX,AirCooledExchanger,NozzleNumberInlet,1,
307,Air Cooled HX,AirCooledExchanger,NozzleNumberOutlet,1,
307,Air Cooled HX,AirCooledExchanger,NozzleSizeInlet,0.0779272,m
307,Air Cooled HX,AirCooledExchanger,NozzleSizeOutlet,0.1022604,m
307,Air Cooled HX,AirCooledExchanger,NumberOfBaysPerItem,6,
307,Air Cooled HX,AirCooledExchanger,NumberOfBundlesPerBay,,
307,Air Cooled HX,AirCooledExchanger,NumberOfTubeBundleInParallel,1,
307,Air Cooled HX,AirCooledExchanger,NumberOfTubeBundleInSeries,1,
307,Air Cooled HX,AirCooledExchanger,NumberofTubeRows,3,
307,Air Cooled HX,AirCooledExchanger,NumberOfTubesPerBundle,296,
307,Air Cooled HX,AirCooledExchanger,RequiredSurfacePerUnit,1114.124451,m^2
307,Air Cooled HX,AirCooledExchanger,SpeedRatio,,
307,Air Cooled HX,AirCooledExchanger,SpeedReducerManufacturer,,
307,Air Cooled HX,AirCooledExchanger,SpeedReducerModel,,
307,Air Cooled HX,AirCooledExchanger,SpeedReducerType,,
307,Air Cooled HX,AirCooledExchanger,SpeedRPM,,rpm
307,Air Cooled HX,AirCooledExchanger,SurfaceAreaPerUnitFinnedTube,1107.367508,m^2
307,Air Cooled HX,AirCooledExchanger,TransferRateBare,96.61090302,W/(m^2.K)
307,Air Cooled HX,AirCooledExchanger,TransferRateClean,104.0909133,W/(m^2.K)
307,Air Cooled HX,AirCooledExchanger,TransferRateFinned,,W/(m^2.K)
307,Air Cooled HX,AirCooledExchanger,TubeBundleLength,,m
307,Air Cooled HX,AirCooledExchanger,TubeInletInletVaporMolecularWeight,,g/mol
307,Air Cooled HX,AirCooledExchanger,TubeInletLiquidDensity,,kg/m^3
307,Air Cooled HX,AirCooledExchanger,TubeInletLiquidMassFlow,,kg/s
307,Air Cooled HX,AirCooledExchanger,TubeInletLiquidSpecificHeatCapacity,,J/(kg.K)
307,Air Cooled HX,AirCooledExchanger,TubeInletLiquidThermalConductivity,,W/(m.K)
307,Air Cooled HX,AirCooledExchanger,TubeInletLiquidViscosity,,(N/m^2).s
307,Air Cooled HX,AirCooledExchanger,TubeInletNonCondensableMolecularWeight,,g/mol
307,Air Cooled HX,AirCooledExchanger,TubeInletNonCondensablesMassFlow,,kg/s
307,Air Cooled HX,AirCooledExchanger,TubeInletStreamMassFlow,,kg/s
307,Air Cooled HX,AirCooledExchanger,TubeInletTemperature,339.5079896,K
307,Air Cooled HX,AirCooledExchanger,TubeInletVaporDensity,,kg/m^3
307,Air Cooled HX,AirCooledExchanger,TubeInletVaporMassFlow,,kg/s
307,Air Cooled HX,AirCooledExchanger,TubeInletVaporSpecificHeatCapacity,,J/(kg.K)
307,Air Cooled HX,AirCooledExchanger,TubeInletVaporThermalConductivity,,W/(m.K)
307,Air Cooled HX,AirCooledExchanger,TubeInletVaporViscosity,,(N/m^2).s
307,Air Cooled HX,AirCooledExchanger,TubeInletWaterStreamMassFlow,,kg/s
307,Air Cooled HX,AirCooledExchanger,TubeLayout,,deg
307,Air Cooled HX,AirCooledExchanger,TubeLength,10.3632,m
307,Air Cooled HX,AirCooledExchanger,TubeLongitudinalPitch,0.0254,m
307,Air Cooled HX,AirCooledExchanger,TubeMaterial,,
307,Air Cooled HX,AirCooledExchanger,TubeMinimumWallThickeness,0.002159,m
307,Air Cooled HX,AirCooledExchanger,TubeOD,0.0191516,m
307,Air Cooled HX,AirCooledExchanger,TubeOutletLiquidDensity,,kg/m^3
307,Air Cooled HX,AirCooledExchanger,TubeOutletLiquidMassFlow,,kg/s
307,Air Cooled HX,AirCooledExchanger,TubeOutletLiquidSpecificHeatCapacity,,J/(kg.K)
307,Air Cooled HX,AirCooledExchanger,TubeOutletLiquidThermalConductivity,,W/(m.K)
307,Air Cooled HX,AirCooledExchanger,TubeOutletLiquidViscosity,,(N/m^2).s
307,Air Cooled HX,AirCooledExchanger,TubeOutletNonCondensableMassFlow,,kg/s
307,Air Cooled HX,AirCooledExchanger,TubeOutletNonCondensableMolecularWeight,,g/mol
307,Air Cooled HX,AirCooledExchanger,TubeOutletStreamMassFlow,,kg/s
307,Air Cooled HX,AirCooledExchanger,TubeOutletTemperature,319.2611094,K
307,Air Cooled HX,AirCooledExchanger,TubeOutletVaporDensity,,kg/m^3
307,Air Cooled HX,AirCooledExchanger,TubeOutletVaporMassFlow,,kg/s
307,Air Cooled HX,AirCooledExchanger,TubeOutletVaporMolecularWeight,,g/mol
307,Air Cooled HX,AirCooledExchanger,TubeOutletVaporSpecificHeatCapacity,,J/(kg.K)
307,Air Cooled HX,AirCooledExchanger,TubeOutletVaporThermalConductivity,,W/(m.K)
307,Air Cooled HX,AirCooledExchanger,TubeOutletVaporViscosity,,(N/m^2).s
307,Air Cooled HX,AirCooledExchanger,TubeOutletWaterMassFlow,,kg/s
307,Air Cooled HX,AirCooledExchanger,TubeSideAllowablePressureDrop,,Pa
307,Air Cooled HX,AirCooledExchanger,TubeSideBubblePoint,,K
307,Air Cooled HX,AirCooledExchanger,TubeSideCalculatedPressureDrop,51602.34932,Pa
307,Air Cooled HX,AirCooledExchanger,TubeSideDewPoint,,K
307,Air Cooled HX,AirCooledExchanger,TubeSideFreezePoint,,K
307,Air Cooled HX,AirCooledExchanger,TubeSideInletPressure,1792636.898,Pa
307,Air Cooled HX,AirCooledExchanger,TubeSideLatentHeat,,J/kg
307,Air Cooled HX,AirCooledExchanger,TubeSideMassFlow,40.78770568,kg/s
