Oid,SheetName,ClassName,Name,Value,Units
11,Simple HX,HeatExchanger,ColdPressureIn,111005.636,Pa
11,Simple HX,HeatExchanger,ColdPressureOut,111005.636,Pa
11,Simple HX,HeatExchanger,ColdTemperatureIn,332.308119,K
11,Simple HX,HeatExchanger,ColdTemperatureOut,361.369932,K
11,Simple HX,HeatExchanger,HotPressureIn,120658.3,Pa
11,Simple HX,HeatExchanger,HotPressureOut,120658.3,Pa
11,Simple HX,HeatExchanger,HotTemperatureIn,379.571146,K
11,Simple HX,HeatExchanger,HotTemperatureOut,349.816667,K
11,Simple HX,HeatExchanger,LogMeanTempDiffCorrectionFactor,1,
11,Simple HX,HeatExchanger,LogMeanTemperatureDifference,17.852639,K
11,Simple HX,HeatExchanger,LogMeanTemperatureDifferenceCorrected,17.759782,K
11,Simple HX,HeatExchanger,NumberOfShellPasses,1,
11,Simple HX,HeatExchanger,NumberOfTubePasses,1,
11,Simple HX,HeatExchanger,ShellInletTemperature,332.308119,K
11,Simple HX,HeatExchanger,ShellOutletTemperature,361.369932,K
11,Simple HX,HeatExchanger,TubeInletTemperature,379.571146,K
11,Simple HX,HeatExchanger,TubeOutletTemperature,349.816667,K
11,Simple HX,HeatExchanger,TubesNumber,1,
11,Simple HX,HeatExchanger,UA,269129.146,W/K
11,Simple HX,HeatExchanger,Duty,,W
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
