Oid,SheetName,ClassName,Name,Value,Units,
2442,Column,TraySection,AlternateFeedTrayLocation,,,
2442,Column,TraySection,BoilUpRatio,0.192174822,unitless,
2442,Column,TraySection,ColumnPressureDrop,,Pa,
2442,Column,TraySection,ColumnSections(1).ActiveArea,0.46969498,m^2,
2442,Column,TraySection,ColumnSections(1).CenterDowncomerAreaBottom,,m^2,
2442,Column,TraySection,ColumnSections(1).CenterDowncomerAreaTop,,m^2,
2442,Column,TraySection,ColumnSections(1).CenterDowncomerClearance,,m,
2442,Column,TraySection,ColumnSections(1).CenterDowncomerWidthBottom,,m,
2442,Column,TraySection,ColumnSections(1).CenterDowncomerWidthTop,,m,
2442,Column,TraySection,ColumnSections(1).CenterWeirLength,,m,
2442,Column,TraySection,ColumnSections(1).CrossSectionalArea,0.656692893,m^2,
2442,Column,TraySection,ColumnSections(1).DowncomerBackup,30.38717875,%,
2442,Column,TraySection,ColumnSections(1).DowncomerChokeFlood,,%,
2442,Column,TraySection,ColumnSections(1).EffectiveHoleArea,0.1,unitless,
2442,Column,TraySection,ColumnSections(1).MaxCapacityFactor,,m/s,
2442,Column,TraySection,ColumnSections(1).MaxFractionalCapacity,51.72378257,%,
2442,Column,TraySection,ColumnSections(1).NumberOfPasses,1,,
2442,Column,TraySection,ColumnSections(1).NumberOfTheoreticalStages,20,,
2442,Column,TraySection,ColumnSections(1).OffCenterDowncomerAreaBottom,,m^2,
2442,Column,TraySection,ColumnSections(1).OffCenterDowncomerAreaTop,,m^2,
2442,Column,TraySection,ColumnSections(1).OffCenterDowncomerWidthBottom,,m,
2442,Column,TraySection,ColumnSections(1).OffCenterDowncomerWidthTop,,m,
2442,Column,TraySection,ColumnSections(1).PackedHeight,,m,
2442,Column,TraySection,ColumnSections(1).PackingFlooding,,%,
2442,Column,TraySection,ColumnSections(1).PackingSectionDiameter,,m,
2442,Column,TraySection,ColumnSections(1).PackingSectionPressureDrop,,Pa,
2442,Column,TraySection,ColumnSections(1).PackingSize,,in,
2442,Column,TraySection,ColumnSections(1).PackingType,,,
2442,Column,TraySection,ColumnSections(1).SectionHeight,12.192,m,
2442,Column,TraySection,ColumnSections(1).SectionName,Section_1,,
2442,Column,TraySection,ColumnSections(1).SideDowncomerAreaBottom,0.093498957,m^2,
2442,Column,TraySection,ColumnSections(1).SideDowncomerAreaTop,0.093498957,m^2,
2442,Column,TraySection,ColumnSections(1).SideDowncomerWidthBottom,0.182880019,m,
2442,Column,TraySection,ColumnSections(1).SideDowncomerWidthTop,0.182880019,m,
2442,Column,TraySection,ColumnSections(1).SideWeirlength,0.731520029,m,
2442,Column,TraySection,ColumnSections(1).SieveHoleDiameter,0.0127,m,
2442,Column,TraySection,ColumnSections(1).StichlmairConstant1,,,
2442,Column,TraySection,ColumnSections(1).StichlmairConstant2,,,
2442,Column,TraySection,ColumnSections(1).StichlmairConstant3,,,
2442,Column,TraySection,ColumnSections(1).SurfaceArea,,m^2/m^3,
2442,Column,TraySection,ColumnSections(1).SystemFactor,,unitless,
2442,Column,TraySection,ColumnSections(1).SystemFoamingFactor,,unitless,
2442,Column,TraySection,ColumnSections(1).TrayDeckThickness,0.0034036,m,
2442,Column,TraySection,ColumnSections(1).TrayDiameter,0.9144,m,
2442,Column,TraySection,ColumnSections(1).TrayFlooding,51.72378257,%,
2442,Column,TraySection,ColumnSections(1).TrayNumbers,20,,
