Oid,SheetName,ClassName,Name,Value,Units
613,AirCooled,AirCooledExchanger,AirFlowPerFan,,m^3/s
613,AirCooled,AirCooledExchanger,AirMassFlow,96,kg/s
613,AirCooled,AirCooledExchanger,AirTemperatureIn,298.15,K
613,AirCooled,AirCooledExchanger,AirTemperatureOut,312.358698272705,K
613,AirCooled,AirCooledExchanger,AirVolFlow,,m^3/s
613,AirCooled,AirCooledExchanger,Altitude,0,m
613,AirCooled,AirCooledExchanger,BareTubeArea,,m^2
613,AirCooled,AirCooledExchanger,DriverCycle,,
613,AirCooled,AirCooledExchanger,DriverEnclosure,,
613,AirCooled,AirCooledExchanger,DriverPhase,,
613,AirCooled,AirCooledExchanger,DriverSpeedRpm,,rpm
613,AirCooled,AirCooledExchanger,DriverType,,
613,AirCooled,AirCooledExchanger,DriverVolt,,V
613,AirCooled,AirCooledExchanger,ElectricityCost,,USD/h
613,AirCooled,AirCooledExchanger,ElectricityUsage,,W
613,AirCooled,AirCooledExchanger,FanDiameter,3.80999994277954,m
613,AirCooled,AirCooledExchanger,FanModel,,
613,AirCooled,AirCooledExchanger,FinMaterial,aluminum 1060,
613,AirCooled,AirCooledExchanger,FinOD,0.0571500015258789,m
613,AirCooled,AirCooledExchanger,FinThickness,0.000280000001192093,m
613,AirCooled,AirCooledExchanger,FinType,Embedded,
613,AirCooled,AirCooledExchanger,FoulingResistance,,m^2.K/W
613,AirCooled,AirCooledExchanger,HeaderCorrosionAllowence,,m
613,AirCooled,AirCooledExchanger,HeaderGasketMaterial,,
613,AirCooled,AirCooledExchanger,Headermaterial,carbon steel,
613,AirCooled,AirCooledExchanger,HeaderNumberOfPasses,4,
613,AirCooled,AirCooledExchanger,HeaderPlugMaterial,,
613,AirCooled,AirCooledExchanger,HeaderType,box,
613,AirCooled,AirCooledExchanger,HeatTransfer,1371739.01367188,W
613,AirCooled,AirCooledExchanger,MTDEffective,11.5488004684448,K
613,AirCooled,AirCooledExchanger,NoOfBlades,,
613,AirCooled,AirCooledExchanger,NoOfDriversPerBay,,
613,AirCooled,AirCooledExchanger,NoOfFansPerBay,2,
613,AirCooled,AirCooledExchanger,NoOfSpeedReducerPerBay,,
613,AirCooled,AirCooledExchanger,NozzleNumberInlet,1,
613,AirCooled,AirCooledExchanger,NozzleNumberOutlet,1,
613,AirCooled,AirCooledExchanger,NozzleSizeInlet,0.146329406738281,m
613,AirCooled,AirCooledExchanger,NozzleSizeOutlet,0.0539749984741211,m
613,AirCooled,AirCooledExchanger,NumberOfBundlesPerBay,1,
613,AirCooled,AirCooledExchanger,NumberofTubeRows,5,
613,AirCooled,AirCooledExchanger,NumberOfTubesPerBundle,225,
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkAccentricFactor,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkAromaticIndex,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkAshContent,,kg/kg
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkBasicNitrogenContent,,fraction
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkBubblePointPressure,,Pa
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkBubblePointTemperature,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkC5AsphalteneContent,,fraction
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkC7AsphalteneContent,,fraction
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkCetaneNumber,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkCloudPoint,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkCompressibility,,unitless
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkConradsonCarbonResidue,,fraction
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkCriticalPressure,,Pa
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkCriticalTemperature,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkCriticalVolume,,m^3/kmol
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkCToHRatio,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkDewPointPressure,,Pa
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkDewPointTemperature,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkEnthalpyFlow,,W
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkFlashPointClosedCup,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkFreezePoint,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkGrossHeatingValue,,J/kg
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkHeatCapacityRatio,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkLowerHeatingValue,,J/kg
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkLuminosityNumber,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkMassDensity,,kg/m^3
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkMassEnthalpy,,J/kg
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkMassEntropy,,J/(kg.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkMassFlow,3.69444394111633,kg/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkMassHeatCapacity,,J/(kg.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkMassHeatCapacityConstVol,,J/(kg.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkMassHeatOfVapourisation,,J/kg
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkMolarDensity,,kmol/m^3
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkMolarEnthalpy,,J/kmol
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkMolarEntropy,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkMolarFlow,,kmol/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkMolarHeatCapacity,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkMolarHeatCapacityConstVol,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.BulkMolecularWeight,,g/mol
